kind	source_file	path	original_sl	corrected_sl	notes
html_attr	asistent.html	placeholder.1	Vpraša npr.: 'Napiši kratek email za novo stranko v industriji X, ki je dobila opomin ARSO...'		
html_text	asistent.html	text.0	AI asistent — Interzero EPR		
html_text	asistent.html	text.1	AI asistent		
html_text	asistent.html	text.10	Ključ je shranjen v localStorage tega brskalnika. Klikni „Pobriši" pod nastavitvami za odstranitev.		
html_text	asistent.html	text.11	Hitre akcije		
html_text	asistent.html	text.12	📋 Pripravi brief za sestanek		
html_text	asistent.html	text.13	✉️ Napiši follow-up email po sestanku		
html_text	asistent.html	text.14	💬 Pomagaj z odgovorom na ugovor		
html_text	asistent.html	text.15	🇭🇷 Prevedi v hrvaščino		
html_text	asistent.html	text.16	🇷🇸 Prevedi v srbščino		
html_text	asistent.html	text.17	📊 Sestavi ESG odgovor		
html_text	asistent.html	text.18	Začni s hitro akcijo ali napiši svoje sporočilo.		
html_text	asistent.html	text.19	Pošlji		
html_text	asistent.html	text.2	Pomoč pri pisanju emailov, brifih in odgovorih s Claude API. Zahteva API ključ Anthropic.		
html_text	asistent.html	text.20	Pobriši pogovor		
html_text	asistent.html	text.21	Pobriši API ključ		
html_text	asistent.html	text.22	Kontekst za AI		
html_text	asistent.html	text.23	Asistent samodejno dobi sistemski kontekst:		
html_text	asistent.html	text.25	Regija: Slovenija, Hrvaška, Srbija		
html_text	asistent.html	text.26	Slog: profesionalen, konkreten, brez fluff besedila		
html_text	asistent.html	text.3	Prva uporaba — nastavitev		
html_text	asistent.html	text.4	Za uporabo asistenta potrebuješ		
html_text	asistent.html	text.5	Anthropic API ključ		
html_text	dashboard.html	text.0	Dashboard — Interzero EPR		
html_text	dashboard.html	text.1	Dashboard za vodjo		
html_text	dashboard.html	text.2	Pregled aktivnega pipeline-a iz Strank. Podatki iz tvojega brskalnika v živo.		
html_text	dashboard.html	text.3	📊 Pipeline funnel — vrednost po fazah		
html_text	dashboard.html	text.4	🎯 Razdelitev po segmentih		
html_text	dashboard.html	text.5	🏭 Po panogah		
html_text	dashboard.html	text.6	⚠ Razlogi izgube		
html_text	dashboard.html	text.8	🚨 Akcijski seznam — kar zahteva tvojo pozornost		
json	data/discovery.json	_opis	Discovery vprašanja po sklopih. Na sestanku ne sprašuj vseh — izberi 8-12 najboljših glede na panogo in odločevalca.		
json	data/discovery.json	sklopi.0.namen	Razumeti velikost, panogo, regionalno prisotnost.		
json	data/discovery.json	sklopi.0.naslov	Kontekst podjetja		
json	data/discovery.json	sklopi.0.vprasanja.0	Kaj točno daje vaše podjetje na slovenski trg — lastni izdelki, uvoz, distribucija?		
json	data/discovery.json	sklopi.0.vprasanja.2	Koliko lokacij imate v Sloveniji?		
json	data/discovery.json	sklopi.0.vprasanja.3	Približne letne količine: koliko ton ali kosov izdelkov daste letno na trg?		
json	data/discovery.json	sklopi.0.vprasanja.4	Kako se je obseg spremenil v zadnjih 12 mesecih?		
json	data/discovery.json	sklopi.1.namen	Razumeti EPR obveznost za embalažo.		
json	data/discovery.json	sklopi.1.naslov	Embalaža		
json	data/discovery.json	sklopi.1.vprasanja.0	Katere vrste embalaže uporabljate — papir/karton, plastika, steklo, kovina, les, kompoziti?		
json	data/discovery.json	sklopi.1.vprasanja.1	Ali poznate okvirne letne količine po posamezni vrsti?		
json	data/discovery.json	sklopi.1.vprasanja.2	Kdo trenutno pripravlja letno poročilo o embalaži?		
json	data/discovery.json	sklopi.1.vprasanja.4	Ali so vas kupci spraševali po Made for Recycling ali podobnih certifikatih?		
json	data/discovery.json	sklopi.2.namen	Preveriti, ali ima stranka obveznosti, ki jih morda ne pozna.		
json	data/discovery.json	sklopi.2.naslov	Druge EPR sheme		
json	data/discovery.json	sklopi.2.vprasanja.1	Ali so v vaših izdelkih baterije ali akumulatorji?		
json	data/discovery.json	sklopi.2.vprasanja.2	Ali se srečujete z odpadnimi olji, gumami, vozili?		
json	data/discovery.json	sklopi.2.vprasanja.3	Kakšne odpadke iz proizvodnje danes oddajate?		
json	data/discovery.json	sklopi.3.namen	Razumeti operativno sliko.		
json	data/discovery.json	sklopi.3.naslov	Ravnanje z odpadki na lokaciji		
json	data/discovery.json	sklopi.3.vprasanja.1	Kdo trenutno opravlja odvoze?		
json	data/discovery.json	sklopi.3.vprasanja.2	Imate več izvajalcev ali enega?		
json	data/discovery.json	sklopi.3.vprasanja.3	Kje vas zatakne — prostor, pogostost odvoza, dokumentacija, cena?		
json	data/discovery.json	sklopi.3.vprasanja.4	Kakšne so vaše izkušnje z dosedanjimi izvajalci?		
json	data/discovery.json	sklopi.4.namen	Preveriti tveganje skladnosti.		
json	data/discovery.json	sklopi.4.naslov	Zakonodaja in poročanje		
json	data/discovery.json	sklopi.4.vprasanja.0	Kdo pri vas spremlja spremembe okoljske zakonodaje?		
json	data/discovery.json	sklopi.4.vprasanja.1	Kdaj ste imeli zadnjo inšpekcijo in kakšne so bile ugotovitve?		
json	data/discovery.json	sklopi.4.vprasanja.2	Imate dokumentacijo zbrano na enem mestu?		
json	data/discovery.json	sklopi.4.vprasanja.4	Kakšne tveganje vidite v naslednjih 12 mesecih?	Kakšno tveganje vidite v naslednjih 12 mesecih?	slovnica: 'tveganje' je srednjega spola → 'kakšno'
json	data/discovery.json	sklopi.5.namen	Razumeti zunanje pritiske.		
json	data/discovery.json	sklopi.5.naslov	ESG in trajnost		
json	data/discovery.json	sklopi.5.vprasanja.0	Ali vam kupci ali banke že zahtevajo ESG podatke ali poročila?		
json	data/discovery.json	sklopi.5.vprasanja.1	Imate trajnostno strategijo ali cilje?		
json	data/discovery.json	sklopi.5.vprasanja.2	Kdo pri vas pokriva ESG / trajnost?		
json	data/discovery.json	sklopi.6.namen	Postaviti realno izhodišče za ponudbo.		
json	data/discovery.json	sklopi.6.naslov	Stroški in cena		
json	data/discovery.json	sklopi.6.vprasanja.0	Imate predstavo o letnem strošku trenutnega ravnanja z odpadki?		
json	data/discovery.json	sklopi.6.vprasanja.1	Koliko plačujete za EPR shemo?		
json	data/discovery.json	sklopi.6.vprasanja.2	Kje vas trenutno boli najbolj — pavšali, transport, kazni, presežki?		
json	data/discovery.json	sklopi.6.vprasanja.3	Kakšen je vaš pričakovan proračun za tovrstne storitve?		
json	data/discovery.json	sklopi.6.vprasanja.4	Ali iščete prihranek, predvidljivost ali samo skladnost?		
json	data/discovery.json	sklopi.7.namen	Razumeti, kdo, kako in kdaj odloča.		
json	data/discovery.json	sklopi.7.naslov	Odločitveni proces		
json	data/discovery.json	sklopi.7.vprasanja.0	Kdo pri vas mora dati zeleno luč za tako odločitev?		
json	data/discovery.json	sklopi.7.vprasanja.1	Kako poteka pri vas izbor dobaviteljev — javno povabilo, primerjava, neformalno?		
json	data/discovery.json	sklopi.7.vprasanja.2	Kakšen je vaš pričakovan rok za odločitev?		
json	data/discovery.json	sklopi.7.vprasanja.3	Imate trenutno pogodbo z drugim izvajalcem in do kdaj velja?		
json	data/discovery.json	sklopi.7.vprasanja.4	Kaj bi za vas pomenilo, da je projekt uspešen po 12 mesecih?		
json	data/epr-cene-si.json	_enota	EUR / kg embalaže, dane na trg		
json	data/epr-cene-si.json	_opis	Okvirne stopnje prispevka za skupno shemo ravnanja z odpadno embalažo v Sloveniji, po vrsti materiala. POMEMBNO: To so PLACEHOLDER vrednosti za demo kalkulacije. Pred uporabo v ponudbi za stranko nujno zamenjaj z aktualnimi Interzero cenami.		
json	data/epr-cene-si.json	_opozorilo	Te številke morajo biti zamenjane s pravimi Interzero cenovniki.		
json	data/epr-cene-si.json	materiali.0.naziv	Papir in karton		
json	data/epr-cene-si.json	materiali.0.opomba	Najnižja stopnja, ker se dobro reciklira.		
json	data/epr-cene-si.json	materiali.2.naziv	Plastika — PET		
json	data/epr-cene-si.json	materiali.3.naziv	Plastika — PP/HDPE		
json	data/epr-cene-si.json	materiali.4.naziv	Plastika — druga		
json	data/epr-cene-si.json	materiali.4.opomba	Slabše recikljiva plastika ima višjo stopnjo.		
json	data/epr-cene-si.json	materiali.6.naziv	Kovina — železo/jeklo		
json	data/epr-cene-si.json	materiali.7.naziv	Kovina — aluminij		
json	data/epr-cene-si.json	materiali.9.naziv	Kompozitna embalaža		
json	data/epr-cene-si.json	materiali.9.opomba	Težje recikljiva, višja stopnja.		
json	data/epr-cene-si.json	paketi_storitev.0.naziv	Osnovni paket EPR		
json	data/epr-cene-si.json	paketi_storitev.0.okvirna_cena_letno	od 1.200 EUR		
json	data/epr-cene-si.json	paketi_storitev.0.primeren_za	Manjši proizvajalci/uvozniki, do okvirno 50 ton embalaže letno.		
json	data/epr-cene-si.json	paketi_storitev.0.vsebina.0	Vključitev v skupno shemo ravnanja z odpadno embalažo.		
json	data/epr-cene-si.json	paketi_storitev.0.vsebina.1	Letno poročanje količin v ARSO.		
json	data/epr-cene-si.json	paketi_storitev.0.vsebina.3	Telefonska in email podpora med delovnim časom.		
json	data/epr-cene-si.json	paketi_storitev.1.naziv	Razširjeni paket EPR + odpadki		
json	data/epr-cene-si.json	paketi_storitev.1.okvirna_cena_letno	od 6.000 EUR		
json	data/epr-cene-si.json	paketi_storitev.1.primeren_za	Srednje stranke z 1-3 lokacijami in mešanimi odpadki.		
json	data/epr-cene-si.json	paketi_storitev.1.vsebina.0	Vse iz osnovnega paketa.		
json	data/epr-cene-si.json	paketi_storitev.1.vsebina.2	Kvartalni pregled stroškov in priložnosti.		
json	data/epr-cene-si.json	paketi_storitev.1.vsebina.3	Podpora pri inšpekcijah.		
json	data/epr-cene-si.json	paketi_storitev.2.okvirna_cena_letno	od 15.000 EUR		
json	data/epr-cene-si.json	paketi_storitev.2.primeren_za	Podjetja, ki prodajajo v več državah Adria regije.		
json	data/epr-cene-si.json	paketi_storitev.2.vsebina.0	Vse iz razširjenega paketa za vse 3 države.		
json	data/epr-cene-si.json	paketi_storitev.2.vsebina.1	En kontakt, ena pogodba, koordinacija obveznosti v vseh državah.		
json	data/epr-cene-si.json	paketi_storitev.2.vsebina.2	Polletni pregled regionalnih sprememb zakonodaje.		
json	data/epr-cene-si.json	paketi_storitev.3.primeren_za	Podjetja z naprednimi trajnostnimi cilji ali zahtevami kupcev.		
json	data/epr-cene-si.json	paketi_storitev.3.vsebina.1	Podpora pri ESG vprašalnikih in CSRD pripravi.		
json	data/epr-cene-si.json	paketi_storitev.3.vsebina.2	Strategija krožnega gospodarstva za podjetje.		
json	data/epr-cene-si.json	paketi_storitev.3.vsebina.3	Periodični strokovni delavnice z vašo HSE / trajnostno ekipo.	Periodične strokovne delavnice z vašo HSE / trajnostno ekipo.	slovnica: 'delavnice' so ž. spola, množina → 'periodične strokovne'
json	data/glosar.json	_opis	Slovar EPR in okoljskih pojmov za komercialiste. Namenjen novim komercialistom in razjasnitvi s strankami, ki uporabljajo napačne izraze.		
json	data/glosar.json	kategorije.0.naziv	Osnovni pojmi		
json	data/glosar.json	kategorije.0.pojmi.0.razlaga	Razširjena odgovornost proizvajalca. Načelo, da je proizvajalec ali uvoznik odgovoren za izdelek tudi po koncu njegove življenjske dobe — predvsem za zbiranje, ponovno uporabo in recikliranje.		
json	data/glosar.json	kategorije.0.pojmi.0.v_praksi	V Sloveniji EPR obstaja za embalažo, EE-opremo, baterije, gume, izrabljena vozila, odpadna olja, zdravila.		
json	data/glosar.json	kategorije.0.pojmi.1.razlaga	Programska oprema za vodenje poslovnih procesov — SAP, Oracle, Microsoft Dynamics. NI povezano z EPR.		
json	data/glosar.json	kategorije.0.pojmi.1.v_praksi	Če stranka uporabi 'ERP' v kontekstu okoljskih obveznosti, takoj razloži razliko. Zameglitev pojmov je pogosta.		
json	data/glosar.json	kategorije.0.pojmi.2.izraz	Skupna shema		
json	data/glosar.json	kategorije.0.pojmi.2.v_praksi	Stranke postanejo članice sheme in plačujejo letni prispevek. Vodi se kot operater sheme, vpisan v ARSO.		
json	data/glosar.json	kategorije.0.pojmi.3.izraz	Individualni načrt		
json	data/glosar.json	kategorije.0.pojmi.3.razlaga	Alternativa skupni shemi — stranka sama izpolnjuje EPR obveznosti, brez vključitve v operaterja. Potrebne lastne evidence, lastna mreža partnerjev, dokazila.		
json	data/glosar.json	kategorije.0.pojmi.3.v_praksi	Smiselno le pri specifični embalaži in velikih količinah. Za večino strank administrativno preveč zahtevno.		
json	data/glosar.json	kategorije.0.pojmi.4.izraz	Proizvajalec / uvoznik		
json	data/glosar.json	kategorije.0.pojmi.4.v_praksi	Ključno vprašanje: kdo je 'prvi na trgu'? Pogosto stranka ne ve in dobava si pošilja odgovornost. Razjasni v discoveryju.	Ključno vprašanje: kdo je 'prvi na trgu'? Pogosto stranka ne ve in v dobavni verigi si podajajo odgovornost. Razjasni v discoveryju.	besedišče: 'dobava si pošilja odgovornost' je kalk → 'v dobavni verigi si podajajo odgovornost'
json	data/glosar.json	kategorije.0.pojmi.5.izraz	Dati na trg		
json	data/glosar.json	kategorije.0.pojmi.5.v_praksi	Ne pomeni nujno fizičnega gibanja blaga. Tudi izdelek iz uvoznega skladišča, ki je sproščen v prodajo, je 'dan na trg'.		
json	data/glosar.json	kategorije.1.naziv	Tokovi odpadkov in materialov		
json	data/glosar.json	kategorije.1.pojmi.0.izraz	Embalaža		
json	data/glosar.json	kategorije.1.pojmi.0.v_praksi	Pri discoveryju vprašaj, ali stranka razlikuje med vrstami — pogosto poročajo samo eno raven.		
