kind	source_file	id	json_path	sl	hr	sr	notes
content	data/auth-config.example.json	auth-config.example:anonKey	anonKey	YOUR-SUPABASE-ANON-KEY			
content	data/discovery.json	discovery:_opis	_opis	Discovery vprašanja po sklopih. Na sestanku ne sprašuj vseh — izberi 8-12 najboljših glede na panogo in odločevalca.	Pitanja za otkrivanje po skupovima. Na sastanku ne pitajte svakoga — odaberite najboljih 8-12 ovisno o industriji i donositelju odluka.	Pitanja za otkrivanje po skupovima. Na sastanku ne pitajte svakoga – izaberite najboljih 8-12 u zavisnosti od industrije i donosioca odluka.	
content	data/discovery.json	discovery:sklopi.0.namen	sklopi.0.namen	Razumeti velikost, panogo, regionalno prisotnost.	Shvatite veličinu, industriju, regionalnu prisutnost.	Razumeti veličinu, industriju, regionalno prisustvo.	
content	data/discovery.json	discovery:sklopi.0.naslov	sklopi.0.naslov	Kontekst podjetja	Kontekst tvrtke	Kontekst kompanije	
content	data/discovery.json	discovery:sklopi.0.vprasanja.0	sklopi.0.vprasanja.0	Kaj točno daje vaše podjetje na slovenski trg — lastni izdelki, uvoz, distribucija?	Što točno vaša tvrtka nudi slovenskom tržištu — vlastite proizvode, uvoz, distribuciju?	Šta tačno vaša kompanija nudi slovenačkom tržištu — sopstvene proizvode, uvoz, distribuciju?	
content	data/discovery.json	discovery:sklopi.0.vprasanja.1	sklopi.0.vprasanja.1	V katerih drugih državah ste še prisotni? (SI, HR, RS, druge EU)	U kojim ste još zemljama još prisutni? (SI, HR, RS, ostale EU)	U kojim ste još zemljama još prisutni? (SI, HR, RS, ostale EU)	
content	data/discovery.json	discovery:sklopi.0.vprasanja.2	sklopi.0.vprasanja.2	Koliko lokacij imate v Sloveniji?	Koliko lokacija imate u Sloveniji?	Koliko lokacija imate u Sloveniji?	
content	data/discovery.json	discovery:sklopi.0.vprasanja.3	sklopi.0.vprasanja.3	Približne letne količine: koliko ton ali kosov izdelkov daste letno na trg?	Okvirne godišnje količine: koliko tona ili komada proizvoda godišnje stavite na tržište?	Približne godišnje količine: koliko tona ili komada proizvoda godišnje stavite na tržište?	
content	data/discovery.json	discovery:sklopi.0.vprasanja.4	sklopi.0.vprasanja.4	Kako se je obseg spremenil v zadnjih 12 mesecih?	Kako se volumen promijenio u proteklih 12 mjeseci?	Kako se obim promenio u poslednjih 12 meseci?	
content	data/discovery.json	discovery:sklopi.1.namen	sklopi.1.namen	Razumeti EPR obveznost za embalažo.	Razumjeti EPR obvezu za pakiranje.	Razumeti EPR obavezu za pakovanje.	
content	data/discovery.json	discovery:sklopi.1.naslov	sklopi.1.naslov	Embalaža	Pakiranje	Pakovanje	
